Name,Formula,Dielectric constant(εrel),nD
diallylamine,C6H11N,3.78,1.441
dibenzofuran,C12H8O,3,1.6079
dibenzyl ether,C14H14O,3.86,1.561
dibenzylamine,C14H15N,3.6,1.5743
dibromomethane,CH2Br2,7.8,1.5407
dibutyl decanedioate,C18H34O4,4.54,1.4427
dibutyl ether,C8H18O,3.1,1.397
dibutyl phthalate,C16H22O4,6.44,1.493
dibutyl sulfoxide,C8H18OS,24.73,1.467
dibutylamine,C8H19N,3.2,1.4154
dichloroacetic acid,C2H2Cl2O2,10.7,1.4659
dichloromethane,CH2Cl2,8.93,1.4241
diethanolamine,C4H11NO2,25.75,1.478
diethyl (2E)-2-butenedioate,C8H12O4,6.56,1.441
diethyl (2Z)-2-butenedioate,C8H12O4,8.58,1.44
diethyl 2-hydroxybutanedioate,C8H14O5,10.2,1.436
diethyl benzalmalonate,C14H16O4,7.6,1.5389
diethyl butanedioate,C8H14O4,6.64,1.42
diethyl carbonate,C5H10O3,3.1,1.384
diethyl decanedioate,C14H26O4,5,1.437
diethyl disulfide,C4H10S2,15.9,1.507
diethyl DL-tartrate,C8H14O6,4.5,1.447
